CustomerID,Annual Income (k$),Spending Score (1-100)
1,117,20
2,107,59
3,29,36
4,121,19
5,86,90
6,35,67
7,117,19
8,136,20
9,89,96
10,102,71
11,131,52
12,114,33
13,118,40
14,145,39
15,67,82
16,16,1
17,102,11
18,52,92
19,144,57
20,35,89
21,72,50
22,36,23
23,103,31
24,63,94
25,73,42
26,29,99
27,65,7
28,122,16
29,69,90
30,78,60
31,145,2
32,65,1
33,149,48
34,35,12
35,87,69
36,32,37
37,146,32
38,103,9
39,74,99
40,28,19
41,23,48
42,104,80
43,67,3
44,144,20
45,98,24
46,106,54
47,125,33
48,22,24
49,49,75
50,95,72
51,64,36
52,118,38
53,146,84
54,16,99
55,148,89
56,68,99
57,120,25
58,18,93
59,68,18
60,58,82
61,28,66
62,109,54
63,62,35
64,29,80
65,54,61
66,96,41
67,125,100
68,67,33
69,38,68
70,138,33
71,55,14
72,29,21
73,59,48
74,79,20
75,103,8
76,85,7
77,23,67
78,102,17
79,143,33
80,77,48
81,95,76
82,47,59
83,137,86
84,19,22
85,55,30
86,42,38
87,149,51
88,86,54
89,26,8
90,47,27
91,62,27
92,76,98
93,51,21
94,113,30
95,118,97
96,49,28
97,115,64
98,145,97
99,15,69
100,19,61
101,117,48
102,41,19
103,29,4
104,104,35
105,56,64
106,138,49
107,77,17
108,110,44
109,66,92
110,110,30
111,146,93
112,43,46
113,50,6
114,27,99
115,85,37
116,100,24
117,42,93
118,80,46
119,59,53
120,76,95
121,148,99
122,42,60
123,42,97
124,122,63
125,58,85
126,98,32
127,44,87
128,89,33
129,142,67
130,106,18
131,143,25
132,135,95
133,41,54
134,135,58
135,130,67
136,17,46
137,117,24
138,76,32
139,65,47
140,73,86
141,132,23
142,110,66
143,127,27
144,76,2
145,66,90
146,26,17
147,53,33
148,144,9
149,145,43
150,127,48
151,115,39
152,127,93
153,95,42
154,127,26
155,16,99
156,144,50
157,68,25
158,101,24
159,143,13
160,140,60
161,144,7
162,67,57
163,82,36
164,137,45
165,52,20
166,38,65
167,83,8
168,130,16
169,112,14
170,111,76
171,138,87
172,84,15
173,107,92
174,17,98
